id;device_code;notification_token;last_login;active;user_enc_id
1;someplace stealthily;editor spice sunny;2025-02-14T06:54:01;false;bcb82b16-62bf-41f6-8a35-c6c9d79ca047
2;scarcely bore;ouch;2025-02-14T03:48:29;true;3462b689-8c63-4500-8aa6-d6a7f640ff36
3;likewise slight;legal;2025-02-14T15:37:58;false;0c7e2399-61c0-4d99-bf21-bf49e86dc866
4;when angelic;rosin;2025-02-14T06:18:59;true;20d2c0bb-2f37-4958-9bbd-bf6200e33f27
5;pear until corporation;programme;2025-02-14T11:44:37;false;8f93d793-ef25-4292-9485-3755e7e0c7f6
6;huzzah outside;inasmuch while;2025-02-14T08:29:34;true;c37730a2-99de-4133-b7a0-e47197e08e61
7;beside;scarily;2025-02-14T09:15:13;false;4f595c02-97db-46d4-86bc-1483b39da7b4
8;seriously;needily delicious tinted;2025-02-14T03:45:51;false;1c65403c-4e1c-4c1e-9b0d-ba433a44aee8
9;at;violently what;2025-02-14T16:58:19;false;f7be2df6-f6ae-4503-a9dd-e2441023a348
10;delightfully surprise;thigh between;2025-02-13T21:42:44;true;deceafc0-34c9-4f01-81c6-29e0ce57eb41
