id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active;default_uom
1;unfinished cornet;slip whenever;presell and fervently;self-assured;sinful;instead thigh;true;gladly
2;unfit;lightly transom;disarm;considering gadzooks maroon;which account cutover;trained vainly whoa;false;via atop ick
3;alliance huzzah;meaningfully descent;floodlight;thoughtfully uneven;segregate squid request;shyly naughty;true;coordinated zowie
4;dandelion;kooky regularly;yet;icebreaker;generously yippee louse;absent profitable popularity;true;hmph drat
5;limply below;lovely;ah traduce;supposing forswear giving;bookend since;strict;false;even
6;oof vibrant earth;stiffen colossal;duh who ick;unto heavenly vice;mythology humidity and;quicker phooey;false;volleyball plus e-mail
7;remorseful geez longingly;instance;powerless glittering nougat;faraway times the;eek concerning incidentally;arrange carelessly;false;ick hence
8;hose rarely;generously;witty;under;sway;unit blue smug;true;pro
9;speedily knottily;transplant basket;within hyphenation absent;digital yippee;beyond;buzzing dress;false;until finally when
10;reboot subtle fooey;save intensely freckle;gosh;pendant inculcate depute;yahoo;lid;true;joyous
