id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active
1;huzzah plain than;physically;lone geez worldly;at gee demobilise;lest whenever moisten;patroller given;true
2;whoever;calmly gee yowza;honestly where;quit prejudge;yearningly;ick ravage who;false
3;developmental heavily;mount upright;steel represent;vice tuba;wherever bah;amidst spice;false
4;yum unlawful psst;ouch eek;yuck how;quintessential asset makeover;scenario athwart;dime yahoo;false
5;abnegate;an kielbasa what;electric surprise sunny;healthily since invite;provision gazebo helpfully;phew;true
6;petticoat vice;yuck;gah along;gently;merge;questionably viciously;false
7;uh-huh woefully cross;absentmindedly chiffonier furthermore;confide remark;ugh effector grumpy;optimal preclude;until reporter;false
8;whenever;whoa;impostor;smug gah;interesting mid pfft;why;false
9;throughout profuse powerfully;willfully lest;ambitious quit;parade bolster;upside-down;familiarize reference consequently;false
10;gah;savour unto suspiciously;faithfully;whose lest unnecessarily;meanwhile correctly;though;false
