id;name;local_name;iso_code
1;well-to-do lest versus;hm neatly since;before essence
2;zowie tusk;inasmuch nor urban;crank unimpressively natural
3;but amongst rightfully;zowie towards diligently;vibration institute
4;incomplete mid versus;stiff blah;source
5;sate deselect;ah gracefully;elegantly aha
6;frenetically;deep daintily hmph;sternly incidentally
7;ha unfit;gratefully;till
8;bah fuzzy;apud for monocle;fray
9;bobble frizz after;revoke knottily;questionably aircraft joyful
10;ugh;whether;beret vainly voluntarily
