id;type;name_en;name_ar;name_fr;name_de;name_urdu;details;details_en;details_ar;details_fr;details_de;details_urdu
1;NORMAL;heighten against yet;engage juicy;gently;eek trial;hawk finally;../fake-data/blob/hipster.txt;interestingly irritably grubby;abnormally nucleotidase;during homeschool;oh if;intent ugh
2;PREMIUM;slump;throughout whoever;incidentally neck;mid intensely complete;above;../fake-data/blob/hipster.txt;abnormally;consequently railway altruistic;instead;bonnet who satisfy;crank absent
3;CORPORATE;whoa ick quicker;before;until;though without;unless commercial;../fake-data/blob/hipster.txt;throughout;stock tenant pocket-watch;how;hm unfortunate now;holster oh
4;CORPORATE;where knowledgeably meanwhile;pace for provided;softly;regarding smoggy antagonize;indeed;../fake-data/blob/hipster.txt;though;midst pfft aw;wetly mmm;sesame;whether book
5;NORMAL;fussy distinction;whereas athwart onto;parade;hoot untried;frightened;../fake-data/blob/hipster.txt;ah wilt;interestingly assist;woot;mmm amongst gee;now quicker
6;NORMAL;underplay;whoever;fundraising lack gift;ew curry;fully;../fake-data/blob/hipster.txt;anticodon;well-lit gloss searchingly;case;infamous;indelible
7;PREMIUM;quixotic;alongside fooey barring;cone in-joke;aw abnormally past;pick;../fake-data/blob/hipster.txt;brr searchingly outfox;fax;how pace;why neighboring;phooey pish once
8;PREMIUM;near;slink;muted noteworthy;from till yearly;dowse next atop;../fake-data/blob/hipster.txt;who amidst babushka;free square bah;while coolly;recovery;nor incidentally
9;NORMAL;including um for;after;chops wearily bourgeoisie;smog;crest supposing;../fake-data/blob/hipster.txt;anti;baggy;times license;chip dearly bitterly;helplessly sleepily
10;PREMIUM;soupy;measly;now airport;bright ugh;roger soap;../fake-data/blob/hipster.txt;psst;dimly;which once psst;consequently;save gracious hmph
