id;name;name_en;name_ar;name_fr;name_de;name_urdu;icon_url
1;jazz seldom brr;qualified opposite;which;meatloaf unnaturally;aw gosh round;gah curiously;unique mid
2;boohoo now canter;bashfully crushing;meh;however toward;than;heartfelt tennis;gleefully
3;supposing reel geez;er yippee integer;intervention sadly;sarcastic;overburden although upon;hence modulo large;fluctuate filthy even
4;recede;yesterday;instead chainstay intensely;adolescent waterspout quaintly;pitiful till;amid ew;reassuringly if midst
5;minty;fooey entrench whereas;brr bah;likewise while oof;yahoo dowse and;ultimately unruly;fold
6;hm darn about;disk pepper;descendant toward;rout recent;gently before;over nasalise ick;fabricate
7;gladly;morning unkempt;hungrily;optimal ew;consequently;terribly;cannon drat inasmuch
8;thigh;cap border;attest whose surprised;needily aha;off marten;forecast lady;underneath scared amidst
9;ick brr that;supposing shadowy flawless;proliferate;helpful whoa;blah;toward whether homely;than
10;comestible;because substantiate hm;greedily diver;joyfully beside quit;with now;psst ick;past
