id;trip_date;arrive_date;max_weight;notes;create_date;is_negotiate;status;created_by_enc_id;enc_id
1;2025-02-14T11:48:20;2025-02-14T17:20:18;25545;stunning as guilt;2025-02-14T03:20:11;false;REJECTED;a563f869-f02c-43f8-bfcd-12dfe69b9c30;6ae0dbb5-000b-40bf-97d2-91f16db3dbb1
2;2025-02-14T06:05:19;2025-02-14T10:34:27;17873;round hourly whimsical;2025-02-14T11:41:37;false;PENDING;a2fba6d8-7669-4030-8fef-18a7b2b76acc;e9cf462b-e8ef-41bc-a3bb-d610da196058
3;2025-02-14T13:22:56;2025-02-14T15:05:02;640;and;2025-02-14T12:44:29;false;REJECTED;0d1fdd90-1b46-47e8-a8a8-d9f89693894e;03a49f6c-c844-4c13-b4e6-850b8cdf810f
4;2025-02-14T02:41:54;2025-02-14T08:26:52;32509;if reluctantly pigpen;2025-02-14T18:21:04;false;COMPLETED;6fa244ca-9a8f-4df8-a2e1-ae32677392dd;8c086203-b7e7-44cc-a624-1165759d0a12
5;2025-02-14T17:20:01;2025-02-13T23:03:05;26669;gah or;2025-02-14T10:59:13;true;COMPLETED;0d522095-0230-4349-98b9-be33eddbf047;3eded757-dd77-4a27-9ec4-52e8a065ba84
6;2025-02-14T06:38:00;2025-02-14T00:23:24;26407;naturally;2025-02-14T16:33:12;false;NEW;3b7b7b97-16c1-41ae-a9d9-72cea70c8e5b;00c64a30-7a41-4225-933c-aec47160500a
7;2025-02-14T09:10:04;2025-02-14T01:08:53;19649;seriously glisten inasmuch;2025-02-14T00:18:46;true;NEW;f5f01d51-b6b2-4500-aeec-514d2fbe5f19;c69e1dc9-3ab7-48a9-841b-1ea783ea5374
8;2025-02-14T04:04:13;2025-02-14T06:59:41;30103;obligation hmph for;2025-02-13T21:56:26;true;PUBLISHED;c0371bf6-c19c-4118-9820-834b317bd118;e080d299-12c5-408c-9f52-95464b9a3706
9;2025-02-13T21:51:40;2025-02-14T13:36:45;2095;understated hospitalization;2025-02-14T13:27:57;false;PENDING;d17c65ce-8c34-444c-a4f6-c8a43a6c7728;bdae56dd-d0f6-40c0-9c61-9c8f756cc8d2
10;2025-02-14T19:35:13;2025-02-14T12:46:22;25935;cautiously mid;2025-02-13T23:05:49;false;PENDING;28620389-2265-448c-9be2-66c62ef25074;6849e46e-b0a5-431a-b067-734e2d87e527
