id;msg;from_user_enc_id;to_user_enc_id;trip_id
1;psst strictly;fa6c284e-f1a3-469f-b879-7ff4378bc7c9;1fbd01df-9c70-4ef8-a713-56f6733c43fb;794
2;ew;42970b23-ddb0-41f7-ae41-4d2275745b86;263f3b41-4c48-4e20-9734-b319e3a58e97;3929
3;times likewise over;02e98d29-c310-46be-b47f-05ba20e9ff9e;8c7e4f3c-8f7d-420c-b48d-c390c5366e09;28833
4;when;8fa494d5-09f0-4865-8c07-237831e2d970;25d5934b-1fae-412b-a358-67731fd01a6b;23422
5;gadzooks switch webbed;79d8c12d-6de8-47f9-bd91-4adb41736039;49fad476-143f-45f8-9df9-e1dcca621ff4;11807
6;or;67763498-f748-47f0-9a06-4c9135f66581;f71ac2c1-360d-4fa5-9d72-319373766bd9;8732
7;toe scarification;d8bda44e-93eb-4f10-8dfb-485b0241844a;d171493b-1553-413b-b92d-6b67dad7441b;16735
8;aside;3888580e-ebd6-4131-ad0e-448ef5d5a8c7;f0755c10-88ae-4cec-9877-3f5ab6a116c9;18824
9;round fooey;898a7d25-5d15-4897-a687-12bbd67fead5;aaeecb2d-073b-45e9-9023-6d930eafc2e6;2943
10;gah uselessly;c5dc6b7f-4005-482e-a45b-997793c856b2;84b97aed-12f2-413c-b090-9d56435581f0;2872
