id;name;name_en;name_ar;name_fr;name_de;name_urdu
1;ashamed swelter mmm;inhibit overreact;fortunately;infatuated e-mail noisily;gently;spirit
2;abaft;ha;astride weighty;defiantly reckon basket;spanish;impressive
3;merrily yahoo;woot overvalue;highly;pupil supposing;blindly cross;however underpants dearest
4;minor;that towards;woot;both atrium brood;absentmindedly;through excluding with
5;including;phooey kindheartedly;overdub those through;once adventurously fantastic;woefully mom woot;fashion puppet afore
6;surge suffice;though almost;ah inspection;or uh-huh;distinction;ick
7;often cap commercial;sidetrack mmm;obvious guilt by;ew woeful mortally;indeed;fund kinase
8;appropriate what longboat;um which;whose taxicab;trash live in;qua modulo;carboxyl consequently
9;cleverly;while anneal;too who;gee shrilly;lest since;in marten ferociously
10;instead;pneumonia mid;thick wearily;litter nocturnal;suspiciously atop;whoever where so
